temperature,rainfall,supply,demand,current_price,next_day_price
26.08,0.0,884.43,745.81,8727.62,8827.88
25.27,0.0,30844.51,30499.4,3001.57,2944.56
26.62,0.0,188.11,168.1,12337.01,13612.45
29.73,2.84,2504.7,2929.41,6469.66,6331.15
31.27,0.0,39365.45,43313.16,643.5,640.02
30.19,1.87,816.4,828.59,7302.8,7116.05
27.09,5.17,17971.85,18171.39,2223.5,2203.26
33.42,2.52,873.01,783.3,8465.32,8282.49
32.81,4.56,3224.22,2401.49,5516.01,5527.54
29.39,6.14,346.57,318.13,8449.13,7767.32
27.52,17.76,98.9,100.89,5993.36,3783.12
32.08,2.89,36528.06,34745.09,2701.75,2777.17
30.71,8.49,12468.28,12660.54,7901.78,7747.54
24.5,3.95,888.04,974.88,7795.96,7843.74
29.74,4.16,950.55,799.67,6993.12,6628.28
31.0,0.0,590.16,482.98,7787.06,7362.42
26.58,3.64,1646.84,1907.34,8321.18,8459.7
30.72,0.0,136.13,139.34,17977.5,21158.81
24.47,7.34,16105.62,14943.41,3587.27,3554.76
35.08,0.0,16024.9,14014.18,2565.65,2696.08
34.74,0.44,23.18,20.37,3413.1,3553.32
29.04,1.81,461.34,432.46,8714.1,8043.6
31.38,1.6,278.63,274.25,6523.01,6367.74
20.84,0.0,10812.39,14378.81,2129.05,2281.62
25.61,2.78,878.21,864.2,8089.22,8089.51
28.88,1.81,20115.31,20652.63,3070.75,3181.75
25.93,2.74,652.16,469.1,7875.49,7371.99
32.71,1.82,1382.14,1165.29,2137.32,2147.61
37.59,4.65,629.8,670.79,7776.64,7078.11
25.53,17.64,286.18,307.28,8851.59,7880.31
26.82,0.0,317.93,174.86,8685.45,7482.99
30.89,1.9,2232.17,2269.23,6245.29,6038.76
36.12,0.0,1007.53,1160.48,7352.21,7251.93
25.35,4.07,1113.85,762.7,7940.17,7987.21
30.95,2.72,18087.99,20582.51,2537.51,2545.76
36.92,0.0,277.65,152.71,8641.08,7473.21
23.72,0.0,148.0,161.17,11559.11,12562.26
25.13,0.0,1125.84,1067.3,7488.98,7698.81
28.39,0.59,1.98,1.19,6669.65,4888.81
28.02,0.0,105.43,104.84,12829.98,12810.09
33.09,0.0,1939.39,2060.77,2250.88,2252.24
30.92,3.51,11414.15,11179.96,2176.49,2224.15
23.26,0.0,23.98,24.99,3475.78,3671.41
31.96,3.32,259.42,224.11,4044.66,3727.7
27.81,0.0,779.7,524.41,7144.24,6973.4
34.84,0.0,2530.86,2499.99,6240.14,5865.31
27.62,0.0,265.65,313.27,6447.89,6117.17
27.58,0.0,1094.6,1196.02,7363.63,7483.02
32.06,0.0,1623.27,1021.62,8311.99,8585.56
32.9,10.31,162.63,119.01,11723.47,11979.09
31.7,0.0,229.84,181.88,2439.83,2549.99
23.59,0.0,13090.4,9626.87,7834.15,7809.08
32.04,0.0,138.2,126.3,12396.9,11441.83
26.07,0.0,2936.03,2932.09,5824.77,5571.2
30.89,1.64,176.37,127.15,11816.71,12365.31
24.59,0.0,168.98,179.33,11708.3,12796.62
31.7,5.57,236.04,239.88,2367.42,2407.77
26.93,0.0,165.3,142.43,12085.01,13257.51
25.13,0.0,297.09,274.84,9040.66,8055.58
32.71,0.0,37404.6,23593.05,2633.46,2558.51
30.92,0.0,1104.5,958.68,5824.28,5611.54
27.67,2.77,2010.98,1902.64,2299.75,2289.67
35.51,0.0,2862.92,2606.8,8575.71,8294.16
28.33,0.0,713.5,701.44,7540.91,7164.09
30.12,2.33,7324.88,7052.26,2021.1,1984.51
31.02,3.43,29461.17,26237.35,2870.84,2757.54
27.65,11.93,19527.88,19955.94,2554.19,2596.19
31.79,4.21,171.12,182.48,16941.26,20148.24
27.97,3.9,8075.56,7545.69,1892.11,1868.12
28.44,10.21,1921.03,1949.22,8221.01,8313.69
35.18,3.5,2250.74,1973.64,2285.2,2206.85
26.05,0.0,28.94,24.69,3406.26,3611.38
20.83,8.62,825.68,893.96,8126.3,8521.18
36.12,0.0,78.7,63.4,2533.35,2394.66
39.69,7.49,1677.44,1586.68,8414.83,8541.5
28.46,3.18,21600.34,20431.72,2484.66,2625.63
22.64,0.0,32511.16,29962.58,642.28,623.47
28.82,2.29,21132.63,18814.64,2687.99,2789.85
28.91,2.76,906.6,785.51,7072.05,6615.64
29.28,0.0,2436.5,1690.73,6308.13,6099.61
25.77,0.0,246.08,245.83,3949.85,3690.99
32.2,2.09,151.12,143.19,12122.4,12935.01
31.99,3.2,2.0,2.08,6996.94,5016.91
24.32,0.0,337.72,297.08,8866.95,7950.91
32.66,0.0,7602.1,8889.99,1832.42,1787.72
37.8,1.97,2246.36,1859.81,6110.84,5814.32
30.65,0.0,787.62,625.03,7144.74,6844.57
28.72,0.0,135.01,106.46,17135.65,20422.62
29.46,0.0,781.81,532.01,6906.05,6663.56
32.34,0.0,548.11,614.18,7958.71,7405.34
23.42,5.77,758.23,890.55,8521.18,8900.7
30.62,2.55,16936.26,17114.93,2293.73,2273.5
28.52,3.38,820.79,670.56,9157.74,9232.37
37.02,4.66,1311.56,1508.43,2162.31,2199.87
29.34,0.0,91.7,80.21,6067.94,3978.6
36.34,0.0,250.02,211.09,2359.02,2338.84
25.81,0.0,12146.95,13925.04,8153.08,8270.64
32.23,0.0,1283.82,1282.35,7775.39,7753.43
31.21,0.0,389.54,475.58,8249.52,7807.65
26.7,0.0,1161.25,1131.79,7420.4,7398.56
30.67,0.0,1286.63,1106.98,7781.77,7818.49
34.61,0.0,18689.94,15077.21,2193.21,2125.67
28.77,5.77,14227.73,9843.74,3619.71,3635.48
23.57,1.5,2.33,2.16,6568.46,4848.49
29.93,7.65,37689.71,41881.79,676.59,684.99
26.57,0.53,10141.86,10410.94,2065.76,2061.8
28.7,0.88,2413.3,2254.42,7790.19,7746.5
29.69,0.0,400.58,313.48,8264.51,7665.08
23.52,3.71,2471.32,2484.92,7487.6,7495.41
23.86,0.0,847.64,931.25,7099.41,7145.62
31.83,0.0,16724.87,16211.58,2192.18,2115.79
28.01,0.0,8.61,8.22,17407.1,17477.83
20.25,0.0,26.31,22.81,3543.95,3682.35
32.98,0.0,41565.64,42542.89,2739.45,2702.98
31.04,12.71,361.62,198.89,8394.18,7768.84
27.29,0.34,3457.93,3427.66,5734.13,5930.32
25.0,9.94,1020.74,1377.61,5741.35,5554.33
33.18,3.52,2952.46,2078.15,8759.6,8304.57
31.33,0.0,8806.93,7734.62,1797.25,1804.65
39.05,0.0,261.83,226.37,2407.35,2480.35
31.6,5.19,3008.34,2606.53,9038.31,8904.3
31.47,0.0,236.62,249.93,3798.85,3545.37
29.37,0.0,872.33,863.56,8748.91,8761.77
33.1,0.0,6076.94,5607.19,1920.4,1917.59
32.38,4.82,8.53,8.85,17543.86,17630.83
34.76,0.89,14160.8,12707.43,3484.03,3478.7
28.02,0.0,2295.18,3160.61,7226.3,7020.48
28.35,2.81,386.09,371.57,8577.49,7913.76
28.18,0.0,1197.56,1147.58,7041.43,7280.32
33.01,0.0,97.33,64.48,3643.53,3960.77
35.69,0.0,11821.98,9572.9,7985.04,8009.42
28.26,0.0,7989.82,8717.65,1934.98,2023.92
28.39,7.54,97.29,75.19,3392.08,3645.87
31.19,0.0,295.37,180.4,8940.85,7857.33
29.07,7.55,97.57,93.7,3536.23,3866.73
33.62,0.0,1528.87,1666.77,7808.29,7526.44
21.44,0.74,245.48,240.64,8440.91,7520.18
26.86,0.97,794.48,711.59,7294.54,7236.25
27.03,6.05,2639.65,1852.62,8004.75,7986.17
21.18,2.11,93.66,97.84,3703.35,4213.19
26.34,9.11,262.44,281.08,2495.32,2541.15
26.52,0.0,95.43,65.98,5912.95,3941.32
29.24,0.78,816.82,887.51,7007.11,6820.0
34.23,1.3,13910.75,14008.62,3414.79,3346.81
29.07,0.0,229.23,248.51,4136.47,3932.26
26.08,0.0,1089.11,1116.55,7329.06,7132.34
29.78,0.0,376.24,381.06,8793.82,8239.91
33.99,0.0,19706.43,19095.13,3004.48,2960.74
26.29,0.0,1322.55,1406.98,7938.39,7868.72
26.54,0.0,42616.37,29240.58,2639.86,2692.75
32.12,1.57,550.69,387.36,7927.77,7371.88
29.16,0.0,129.02,106.06,12928.98,12125.98
32.46,0.73,140.54,125.08,11848.16,12478.61
29.95,0.0,18397.15,17930.78,2249.65,2199.11
32.67,1.6,1120.31,1070.85,7447.57,7429.26
26.07,0.0,1809.83,1990.81,8142.1,8087.65
29.95,0.0,1067.05,1153.56,2208.44,2275.7
29.2,0.0,14758.9,11846.52,8015.07,7972.81
25.38,6.36,2247.5,2262.23,7579.31,7556.41
24.06,0.0,1313.81,1099.6,7784.11,7829.45
32.61,11.86,2525.84,2337.54,6138.53,5890.64
28.67,0.0,755.21,734.86,7499.26,7151.69
26.12,3.92,38437.65,21140.71,2763.13,2665.57
29.63,0.0,3221.56,4058.42,5833.95,5890.46
34.29,1.76,14573.53,14290.99,2115.83,2130.97
21.33,0.0,144.25,128.18,12836.87,12419.69
24.31,0.0,101.11,123.76,6209.49,4272.44
26.49,0.0,291.71,260.32,6562.12,6476.73
35.55,0.0,3269.55,2959.72,5617.58,5558.29
31.07,0.0,225.45,190.58,2547.9,2630.59
32.92,7.22,14009.64,16288.44,8018.34,7648.45
25.67,0.0,729.49,679.37,7535.78,7596.09
25.75,0.0,337.41,326.09,8434.67,7584.74
31.7,16.13,2149.97,2457.07,2268.77,2265.72
30.22,0.0,13556.96,13564.97,2325.67,2279.25
32.09,0.0,2298.22,2068.12,7493.36,7411.45
29.29,8.09,21054.04,23414.16,2945.98,3100.31
31.06,0.84,845.32,1075.61,8503.35,8715.54
30.6,5.56,2499.48,2457.13,6501.15,6155.34
32.96,0.0,11055.29,10155.53,2095.4,2249.9
33.07,3.17,2117.23,1986.3,6314.87,5962.09
23.84,0.0,89.09,101.6,5816.83,3943.49
21.46,1.56,17248.11,15412.68,2297.24,2321.06
33.81,4.92,136.93,120.21,13307.41,12678.04
34.51,1.32,328.47,224.33,8733.33,7631.05
26.12,0.0,16034.46,12467.25,2147.38,2128.69
22.93,0.0,41201.38,36665.61,2762.42,2791.98
30.38,1.94,32296.47,29636.95,663.72,626.59
33.54,0.0,6602.07,7568.93,1852.09,1856.95
36.83,0.0,126.0,120.21,12364.2,11671.04
31.96,6.07,820.73,660.54,7071.42,6781.23
28.59,7.39,3587.91,3071.63,8655.61,8332.25
26.61,0.0,1149.21,1301.85,5764.66,5632.77
30.04,0.0,946.69,1020.02,5964.82,5771.58
28.86,0.0,15531.73,14456.37,2536.4,2567.68
26.14,0.0,2240.21,1974.05,2259.67,2252.81
37.79,0.0,11770.62,12132.91,2097.9,2124.13
36.78,0.83,8498.44,6319.01,1853.28,1913.09
34.32,0.71,770.42,733.3,7563.29,7293.61
26.5,0.0,2428.77,3058.23,7422.56,7419.5
33.25,0.0,1172.67,1089.71,7546.31,7380.67
32.43,1.67,288.39,231.73,8398.15,7632.17
31.68,0.48,95.61,92.67,2640.99,2473.77
34.75,4.12,245.31,206.6,2404.94,2455.64
32.41,0.0,21574.63,15325.27,2627.68,2751.92
32.81,7.22,2359.87,2430.98,7464.73,7345.84
32.42,0.0,2548.46,2706.4,6426.65,6073.74
31.3,0.0,2275.27,1976.54,7613.4,7384.82
23.22,0.15,732.81,665.73,7106.19,7025.51
30.32,0.0,45431.0,35594.02,666.16,663.31
27.89,0.0,16372.46,14926.61,2169.22,2169.58
25.14,0.0,134.45,117.04,13185.52,12817.53
36.39,0.0,45.76,33.87,4890.39,5054.97
36.57,0.0,1104.22,1264.87,7539.79,7534.61
35.17,7.53,591.91,582.7,7708.88,6892.1
30.97,0.0,99.76,99.19,3549.57,3842.32
35.13,0.0,39102.16,39605.86,631.04,646.87
30.05,3.84,873.71,911.32,8813.27,8909.02
30.77,0.0,37.32,32.01,4944.03,4896.39
25.84,3.5,2.52,2.51,6609.52,4980.56
31.51,0.0,1719.02,1501.2,8296.48,8271.18
30.23,4.06,858.04,854.83,7211.57,6958.95
25.05,0.0,18397.36,18352.06,2520.98,2707.35
29.81,2.41,1159.44,1017.1,2168.81,2224.82
29.7,0.0,8.71,6.4,16636.22,17059.97
36.83,1.31,984.76,890.94,8803.33,8675.11
33.4,0.0,1148.38,1000.25,2233.42,2343.37
30.04,6.94,15080.95,10297.69,3559.9,3451.77
30.95,0.0,43.61,42.97,5083.28,5293.16
30.17,0.0,11432.41,12051.35,2030.82,2127.34
29.23,0.0,39404.8,50382.83,2490.17,2501.97
25.89,0.0,180.18,160.35,11839.17,13128.26
29.43,0.0,34117.46,28932.44,2568.59,2551.99
27.16,3.11,80.17,63.67,5966.57,4185.01
25.25,0.0,1995.93,1951.45,6362.41,6496.96
31.94,0.0,2158.55,2021.85,6475.52,6307.3
31.49,0.0,216.28,172.48,3876.0,3648.18
23.21,0.0,18006.35,16858.39,2586.01,2774.96
29.53,0.0,23.72,15.32,3417.1,3458.42
33.78,4.03,1983.18,2068.71,6384.86,5996.72
34.03,0.0,2425.4,1911.1,7769.4,8012.05
33.9,2.91,1420.87,1283.63,8145.7,7980.38
30.15,0.0,40493.46,29130.01,646.78,655.65
26.79,0.0,13108.42,11243.58,8383.98,8341.81
25.88,1.08,792.54,721.11,8585.98,8485.87
31.31,0.0,78.59,71.56,6113.53,4018.44
31.44,0.0,2886.6,2824.58,5699.33,5618.95
34.89,1.23,32010.76,35116.83,664.36,647.78
34.18,3.95,8328.31,8438.96,1879.52,1945.74
29.5,4.34,27.02,29.05,3390.32,3546.31
25.27,0.0,26.47,30.46,3188.55,3369.28
28.79,1.84,1991.25,2019.92,2068.25,2001.59
30.83,9.16,11885.22,11250.0,2204.5,2279.35
29.23,5.46,159.2,173.17,12326.34,13439.23
27.8,0.0,160.77,174.18,12522.79,13895.6
30.96,0.0,10.7,10.75,17057.74,17862.65
28.08,0.0,34528.58,25131.36,2574.3,2501.52
27.61,0.0,864.62,705.97,8228.44,8179.86
31.18,4.93,1204.79,1077.27,7476.6,7323.58
28.47,0.0,539.18,559.84,7602.61,7113.61
30.93,0.0,7386.39,6732.29,1926.53,1977.55
31.04,0.0,38493.23,41300.64,2809.21,2801.49
25.67,0.0,19649.95,22206.64,3001.01,3203.34
28.17,0.0,34218.58,37601.3,648.28,653.22
35.46,0.0,3327.29,3513.6,5523.05,5378.52
25.58,0.0,21779.1,17451.95,2659.42,2729.65
21.96,2.67,3305.21,3458.97,5718.73,5777.53
22.92,0.0,2.04,1.79,6651.56,4837.66
30.11,0.0,14317.05,9856.81,3578.29,3559.52
30.12,0.0,92.71,81.5,3493.23,3832.18
29.55,0.0,7340.57,8134.42,1911.71,1829.81
34.61,0.0,45984.86,43999.25,625.08,642.67
20.0,0.0,17336.37,21887.05,2271.27,2300.96
31.5,0.0,15570.18,14570.34,2205.41,2217.23
35.93,0.0,46.66,57.26,5081.64,5242.09
25.71,1.2,1887.27,1840.75,2228.49,2229.59
28.56,0.0,36338.9,33860.84,2651.21,2635.78
27.14,0.0,751.66,569.79,6969.65,6712.51
26.6,3.5,7510.64,8335.7,1885.41,1974.4
28.76,0.0,8106.5,6948.42,1863.01,1791.72
35.42,0.0,12410.79,9889.75,2110.56,2174.66
36.98,0.0,14813.54,15665.02,3535.85,3439.65
28.72,0.0,81.72,89.06,6020.26,4107.36
37.24,0.0,2526.09,2614.63,7535.94,7501.69
30.14,0.64,1777.37,1548.16,8259.97,8532.61
36.66,1.11,13503.93,11847.09,3606.05,3553.21
29.65,3.08,27555.25,25518.06,3050.05,3058.37
30.5,0.0,14720.68,15111.73,3515.9,3442.6
31.39,0.0,224.85,253.89,4005.73,3644.71
42.0,0.0,2.23,2.01,6678.9,4678.58
33.23,0.0,1238.27,1457.53,7281.91,7085.63
27.31,0.0,39641.76,42088.96,2657.85,2614.95
33.68,0.0,1318.51,1140.56,2229.88,2299.42
28.63,0.0,13492.66,14089.97,7816.94,7768.63
28.14,0.0,760.52,889.81,8677.06,8877.67
33.45,0.0,2155.78,2541.76,6111.23,5882.64
30.12,4.34,773.55,853.09,7386.56,7254.81
31.06,0.0,8.57,7.86,17025.82,17660.1
30.05,0.04,9429.09,8387.22,3587.55,3406.64
31.28,0.0,94.01,93.35,6015.91,3839.54
31.61,0.0,2905.56,3325.9,7634.83,7887.66
22.64,0.0,2705.53,2772.87,7668.31,7906.46
32.53,0.0,8.87,8.59,16442.28,17133.92
26.27,0.0,83.26,79.06,3450.59,3793.21
24.52,0.0,1211.64,1098.94,2249.64,2371.53
29.78,0.65,39307.81,35425.32,636.58,662.1
30.32,0.0,39801.0,37295.32,656.02,663.45
27.36,0.0,29.45,34.64,3344.45,3452.77
33.16,7.99,2326.13,2092.24,2282.28,2262.78
24.9,0.0,245.83,235.49,3887.19,3720.83
28.45,5.88,91.36,75.98,2546.8,2358.16
27.78,0.0,845.0,873.44,8326.66,8190.97
29.82,0.0,14110.76,15696.77,3741.52,3580.29
31.06,0.0,11126.09,12695.67,2170.21,2269.28
26.17,0.0,2746.15,2667.75,7755.01,7928.45
32.75,1.87,17695.9,17543.38,2249.05,2203.57
30.24,0.0,8.4,7.53,17977.43,17589.78
22.81,0.0,1203.47,1248.07,5617.27,5448.16
22.56,0.0,1306.98,1318.23,7707.62,7656.31
29.95,9.1,8183.92,7896.1,3643.75,3435.99
29.16,6.5,2107.42,2044.91,2216.4,2195.95
29.61,9.59,20457.44,20948.19,2940.88,3059.61
29.89,5.0,22286.11,20045.07,2476.95,2659.14
30.86,2.39,39109.21,34825.06,2753.64,2743.57
33.6,0.0,8040.72,9145.71,1836.98,1807.1
25.78,4.68,303.58,407.87,8696.48,7707.52
25.55,0.0,771.01,599.93,8988.07,8996.27
25.85,0.0,6905.8,5307.81,1848.87,1900.5
31.1,3.75,2574.75,2045.46,7304.45,7021.75
34.73,0.0,2.4,2.1,6474.1,4700.58
28.36,0.0,841.13,887.6,7146.16,6797.42
20.49,0.0,13281.28,14075.68,2096.1,2137.33
23.52,0.0,42542.75,41816.77,651.79,694.96
26.83,7.68,1270.73,1326.33,2099.58,2139.51
27.88,0.0,15950.36,13331.69,2256.12,2171.53
28.45,0.12,28.69,25.7,3425.74,3615.62
30.15,0.0,21564.09,19759.33,2572.58,2635.17
28.82,2.68,224.16,160.51,4133.26,3936.25
33.99,0.0,1140.43,836.49,2152.0,2161.06
27.43,5.67,2412.81,1932.87,6215.01,5969.67
26.72,0.0,6746.38,7061.0,1824.93,1903.2
31.82,0.0,244.25,230.43,3970.33,3745.91
24.16,0.0,37128.12,38634.09,2654.22,2730.02
31.48,0.0,2.25,1.47,6560.86,4771.89
30.39,0.0,30781.37,21853.62,635.97,618.45
29.44,19.2,370.6,405.07,8361.09,7735.75
36.04,8.07,12132.71,6672.99,8100.13,7834.42
27.64,1.17,139.04,154.38,12978.04,12522.45
37.83,0.0,954.1,589.4,7433.14,7050.65
29.14,0.0,22224.25,23184.52,3110.53,3270.59
25.15,2.22,9767.03,8141.82,3735.04,3624.34
30.27,5.03,609.57,661.62,8068.52,7400.58
25.91,0.0,2259.02,3148.36,2282.68,2353.47
27.14,2.42,1413.56,888.55,8210.02,7872.99
31.51,0.0,228.57,230.46,2546.6,2683.22
32.11,5.82,2624.07,1777.75,8058.87,8095.64
27.64,0.36,752.73,749.23,8462.52,8539.41
33.75,8.09,252.08,227.1,3969.06,3624.11
34.4,0.0,955.41,871.12,7180.06,6612.92
35.46,0.32,232.78,177.12,3955.83,3639.17
32.01,0.0,135.62,137.96,12144.27,13162.31
35.18,2.02,33686.49,23385.53,657.79,633.63
22.85,0.0,227.11,258.16,2422.35,2518.59
28.79,2.01,134.84,118.39,16235.58,18914.0
26.71,4.15,8177.79,6215.14,1929.97,1930.97
30.45,0.0,41012.91,46778.21,2645.61,2752.98
27.83,0.0,222.27,205.29,4034.97,3715.47
29.37,1.14,2239.8,2677.51,7760.68,7976.66
37.15,0.0,2.21,2.32,6750.3,4770.46
29.36,0.0,2286.79,1857.17,6558.43,6354.91
31.57,0.0,36627.57,32915.99,2577.69,2600.98
29.12,0.0,7580.25,7142.43,1961.16,1991.69
30.29,0.2,2.25,2.55,6882.09,5278.37
30.02,10.8,20382.35,20878.35,2573.82,2650.7
31.7,0.0,6906.83,6454.15,1916.19,1980.06
34.43,0.0,34663.44,29999.4,650.28,619.31
36.26,0.0,1844.93,1614.98,7433.76,7408.17
31.18,0.0,2040.55,2235.59,2320.62,2370.33
32.24,2.51,1043.82,957.28,5582.51,5382.28
25.63,0.0,165.34,147.31,12126.1,13578.97
29.67,0.0,12394.91,10448.57,2164.97,2213.11
33.57,3.42,3462.33,2890.09,5988.84,6008.99
33.29,0.0,830.94,584.95,7986.59,7961.42
30.8,6.47,93.8,78.42,6243.6,3964.19
33.37,0.0,1316.68,1460.95,7763.33,7652.21
31.86,0.0,10237.75,9008.06,2112.66,2175.06
34.56,0.0,3041.89,3015.27,7631.21,7594.84
31.1,5.19,733.42,430.61,7020.45,6941.93
28.65,2.09,1245.27,1265.24,2197.76,2270.01
31.28,0.0,8030.38,7145.06,1798.82,1841.84
20.0,0.0,17584.04,16047.17,2252.1,2269.35
31.45,0.0,1054.85,987.98,5758.78,5581.67
20.0,2.74,18343.27,16904.46,2144.12,2143.41
23.45,1.48,34330.26,22928.12,639.9,660.03
31.72,2.02,2626.52,2749.69,7937.95,7965.78
31.81,5.72,583.26,563.44,7744.88,7488.59
25.58,0.0,775.52,699.95,7193.64,6784.64
27.29,4.33,1135.99,929.56,7604.56,7525.6
35.21,1.13,3449.81,2371.73,5862.3,5729.34
28.16,0.0,290.89,279.94,8672.47,8084.04
38.52,6.19,1848.16,2069.02,8091.03,7891.3
29.99,0.0,1209.63,1147.32,2179.95,2259.07
31.55,3.92,2195.39,1608.78,6404.35,6194.41
36.14,2.9,87.75,81.28,5782.89,3784.34
30.5,3.54,20181.56,18642.08,2503.42,2642.52
26.19,0.0,832.05,885.15,8166.16,8407.28
29.58,0.0,103.32,104.09,3526.72,3861.36
29.86,6.45,622.28,342.25,7650.58,7034.77
24.81,6.21,958.56,1008.67,7606.59,7402.55
29.03,0.0,21.87,17.18,3278.8,3404.55
27.18,2.84,890.93,667.51,8413.14,8499.23
33.51,0.0,43.0,37.52,4897.35,5050.4
30.13,5.24,13226.79,13196.34,7992.66,7629.86
28.93,7.45,1166.93,847.84,5642.89,5488.32
29.6,0.0,35238.49,35980.67,638.62,634.08
30.85,0.0,8425.18,8608.69,3628.71,3505.03
32.34,6.9,14644.72,13767.94,7948.98,7598.53
26.2,1.67,1129.2,935.01,5878.07,5659.27
26.04,3.92,19983.47,16432.53,2518.08,2671.97
34.2,0.0,766.89,796.38,7483.35,7473.72
28.43,3.23,221.85,162.12,4038.22,3851.79
24.62,0.0,8.32,9.17,16720.88,17578.14
31.69,0.0,34391.94,30497.17,671.43,637.25
31.76,0.0,777.32,696.49,7239.09,7368.31
24.18,13.38,251.53,193.5,4110.68,3723.05
30.87,2.99,257.52,233.36,6521.31,6282.4
32.8,7.86,7137.44,7284.3,1885.76,1899.73
31.42,8.24,9173.78,6947.51,3669.3,3423.99
32.4,0.0,16336.18,15934.3,2655.91,2775.11
24.66,0.0,812.03,783.18,7419.45,7332.55
31.26,0.0,45.37,37.31,4962.89,5235.05
28.85,0.0,26.86,28.11,3393.47,3545.19
28.17,0.0,84.82,52.82,3590.04,3957.81
33.31,4.64,27.54,26.64,3400.46,3521.46
35.62,6.31,8036.3,9147.26,1984.73,1902.93
36.82,1.92,2904.9,3161.53,7887.13,8008.3
35.0,0.0,877.44,828.83,8231.34,8164.79
29.58,0.0,660.35,581.29,7709.35,7271.09
31.34,0.0,6870.86,5654.35,1794.16,1784.83
32.91,0.0,94.71,81.46,6085.58,3982.42
